id,name,city,country,purchase_amount,loyalty_score
101,Alice_101,Bangalore,India,2471.3,0.14
102,Frank_102,Kolkata,Japan,3457.96,0.51
103,Jack_103,Ahmedabad,Brazil,4967.26,0.26
104,Ivy_104,Bangalore,UK,2512.64,0.6
105,Hank_105,Ahmedabad,Japan,3766.61,0.76
106,Jack_106,Ahmedabad,Spain,2822.6,0.91
107,Hank_107,Chennai,Spain,3233.4,0.94
108,Diana_108,Pune,Canada,4498.63,0.12
109,Diana_109,Chennai,Australia,2319.08,0.22
110,Hank_110,Lucknow,Japan,1251.21,0.75
111,Alice_111,Jaipur,Canada,3495.57,0.28
112,Bob_112,Chennai,Australia,2183.65,0.61
113,Charlie_113,Jaipur,Canada,1675.26,0.88
114,Bob_114,Lucknow,France,4441.22,0.24
115,Alice_115,Hyderabad,Canada,1565.8,0.38
116,Charlie_116,Bangalore,Germany,3757.85,0.26
117,Bob_117,Chennai,Brazil,3445.31,0.18
118,Bob_118,Pune,Brazil,2335.57,0.73
119,Charlie_119,Hyderabad,UK,3947.77,0.57
120,Bob_120,Ahmedabad,Japan,2345.29,0.3
121,Ivy_121,Jaipur,France,1677.01,0.32
122,Bob_122,Kolkata,Germany,1364.72,0.31
123,Alice_123,Chennai,France,3989.2,0.75
124,Frank_124,Hyderabad,India,2661.2,0.52
125,Charlie_125,Chennai,USA,1197.01,0.94
126,Ivy_126,Ahmedabad,France,3174.26,0.45
127,Hank_127,Chennai,India,1529.94,0.83
128,Ivy_128,Kolkata,Japan,2810.72,0.41
129,Grace_129,Jaipur,France,3689.87,0.13
130,Diana_130,Kolkata,Germany,1289.01,0.27
131,Jack_131,Delhi,Australia,2517.77,0.98
132,Bob_132,Pune,Germany,1033.66,0.27
133,Frank_133,Jaipur,USA,1048.27,0.74
134,Grace_134,Chennai,Canada,4016.8,0.39
135,Alice_135,Bangalore,Spain,2688.41,0.98
136,Bob_136,Kolkata,UK,2819.1,0.8
137,Alice_137,Lucknow,Brazil,4082.99,0.37
138,Bob_138,Lucknow,USA,1200.47,0.63
139,Charlie_139,Kolkata,UK,3341.11,0.23
140,Charlie_140,Delhi,USA,3453.43,0.93
141,Hank_141,Kolkata,Brazil,1328.86,0.77
142,Diana_142,Delhi,USA,2712.41,0.15
143,Jack_143,Lucknow,Brazil,2480.17,0.65
144,Eve_144,Hyderabad,Germany,2252.23,0.38
145,Jack_145,Kolkata,UK,4569.13,0.96
146,Diana_146,Ahmedabad,France,2559.8,0.38
147,Ivy_147,Chennai,India,3616.49,0.21
148,Jack_148,Hyderabad,India,4684.03,0.26
149,Charlie_149,Pune,Japan,3526.39,0.14
150,Jack_150,Kolkata,USA,4715.17,0.86
151,Frank_151,Mumbai,Germany,4449.02,0.64
152,Ivy_152,Delhi,France,4390.08,0.13
153,Frank_153,Hyderabad,USA,3713.17,0.14
154,Hank_154,Bangalore,Spain,4471.02,0.36
155,Eve_155,Delhi,Canada,1088.42,0.67
156,Ivy_156,Lucknow,France,4483.64,0.15
157,Eve_157,Bangalore,Germany,2466.41,0.44
158,Ivy_158,Ahmedabad,USA,1940.41,0.91
159,Hank_159,Hyderabad,Canada,1319.73,0.39
160,Bob_160,Ahmedabad,India,4779.16,0.55
161,Jack_161,Lucknow,Japan,1295.47,0.88
162,Diana_162,Mumbai,Spain,4937.15,0.94
163,Ivy_163,Kolkata,India,2793.76,0.52
164,Hank_164,Hyderabad,Japan,2886.88,0.66
165,Hank_165,Chennai,Germany,3692.25,0.88
166,Hank_166,Ahmedabad,Australia,1824.25,0.22
167,Grace_167,Bangalore,UK,3710.05,0.98
168,Diana_168,Bangalore,Spain,2233.17,0.41
169,Jack_169,Kolkata,USA,2441.89,0.69
170,Frank_170,Hyderabad,Australia,4881.42,0.83
171,Bob_171,Lucknow,Canada,1851.31,0.57
172,Eve_172,Pune,France,1494.51,0.54
173,Hank_173,Hyderabad,Germany,3536.55,0.46
174,Alice_174,Jaipur,Spain,2324.05,0.12
175,Bob_175,Delhi,Canada,3409.59,0.27
176,Jack_176,Chennai,Spain,4898.69,0.22
177,Alice_177,Jaipur,Canada,1574.64,0.14
178,Diana_178,Ahmedabad,UK,1606.72,0.47
179,Bob_179,Chennai,UK,3570.48,0.9
180,Grace_180,Hyderabad,Canada,3430.76,0.46
181,Diana_181,Delhi,Japan,3142.98,0.84
182,Grace_182,Hyderabad,Japan,2670.68,0.42
183,Bob_183,Delhi,France,1683.86,0.54
184,Bob_184,Lucknow,India,3543.59,0.16
185,Grace_185,Lucknow,Brazil,1413.82,0.19
186,Hank_186,Ahmedabad,India,2994.58,0.73
187,Alice_187,Pune,France,3457.0,0.35
188,Charlie_188,Jaipur,Spain,4454.86,0.38
189,Hank_189,Kolkata,Germany,1504.04,0.32
190,Eve_190,Mumbai,India,3415.69,0.65
191,Ivy_191,Chennai,Germany,1908.61,0.48
192,Charlie_192,Jaipur,USA,2515.16,0.32
193,Diana_193,Mumbai,UK,3808.03,0.18
194,Alice_194,Delhi,Australia,3108.29,0.58
195,Bob_195,Mumbai,Japan,3386.01,0.23
196,Alice_196,Hyderabad,Spain,3949.87,0.84
197,Ivy_197,Lucknow,Brazil,3961.86,0.17
198,Eve_198,Delhi,Japan,3846.06,0.67
199,Diana_199,Hyderabad,France,2748.32,0.46
200,Bob_200,Lucknow,Australia,4493.26,0.89
